vintage,kind,N,Z,A,element,Sn_keV,Sn_unc_keV,Sn_estimated,Sp_keV,Sp_unc_keV,Sp_estimated,Q4beta_keV,Q4beta_unc_keV,Q4beta_estimated,Qda_keV,Qda_unc_keV,Qda_estimated,Qpa_keV,Qpa_unc_keV,Qpa_estimated,Qna_keV,Qna_unc_keV,Qna_estimated,raw_line
2020,rct2,1,0,1,n,0.0,0.0,False,,,False,,,False,,,False,,,False,,,False,0  1  n   0       0.0       0.0         *                     *                     *                     *                     *               
2020,rct2,0,1,1,H,,,False,0.0,0.0,False,,,False,,,False,,,False,,,False,   1 H    1       *                     0.0       0.0         *                     *                     *                     *               
2020,rct2,1,1,2,H,2224.5662,0.0004,False,2224.5662,0.0004,False,,,False,23846.5299,0.0002,False,,,False,,,False,0  2 H    1    2224.5662    0.0004   2224.5662    0.0004      *                 23846.5299    0.0002      *                     *               
2020,rct2,2,1,3,H,6257.2301,0.0004,False,,,False,,,False,17589.2999,0.0005,False,19813.8661,0.0002,False,,,False,0  3 H    1    6257.2301    0.0004      *                     *                 17589.2999    0.0005  19813.8661    0.0002      *               
2020,rct2,1,2,3,He,,,False,5493.4751,0.0001,False,,,False,18353.0548,0.0002,False,,,False,20577.6211,0.0005,False,   3 He   2       *                  5493.4751    0.0001      *                 18353.0548    0.0002      *                 20577.6211    0.0005
2020,rct2,0,3,3,Li,,,False,,,False,,,False,,,False,,,False,,,False,   3 Li   3       *                     *                     *                     *                     *                     *               
2020,rct2,3,1,4,H,-1600.0,100.0,False,,,False,,,False,,,False,21413.8661,100.0,False,,,False,0  4 H    1   -1600.0000  100.0000      *                     *                     *                 21413.8661  100.0000      *               
2020,rct2,2,2,4,He,20577.6211,0.0005,False,19813.8661,0.0002,False,,,False,0.0,0.0,False,0.0,0.0,False,-0.0,0.0,False,   4 He   2   20577.6211    0.0005  19813.8661    0.0002      *                     0.0       0.0         0.0000    0.0000     -0.0000    0.0000
2020,rct2,1,3,4,Li,11415.0,2011.0,True,-3102.9999,212.132,False,,,False,,,False,,,False,23680.621,212.132,False,   4 Li   3   11415#     2011#      -3102.9999  212.1320      *                     *                     *                 23680.6210  212.1320
2020,rct2,4,1,5,H,-200.0,134.1641,False,,,False,,,False,,,False,,,False,,,False,0  5 H    1    -200.0000  134.1641      *                     *                     *                     *                     *               
2020,rct2,3,2,5,He,-735.0,20.0,False,20678.8661,101.9804,False,,,False,6992.2301,20.0,False,2959.5663,20.0,False,,,False,   5 He   2    -735.0000   20.0000  20678.8661  101.9804      *                  6992.2301   20.0000   2959.5663   20.0000      *               
2020,rct2,2,3,5,Li,21715.6211,217.9449,False,-1964.9999,50.0,False,,,False,7458.475,50.0,False,,,False,4189.5662,50.0,False,   5 Li   3   21715.6211  217.9449  -1964.9999   50.0000      *                  7458.4750   50.0000      *                  4189.5662   50.0000
2020,rct2,1,4,5,Be,,,False,-4527.0,2014.0,True,,,False,19183.0,2830.0,True,,,False,,,False,   5 Be   4       *                 -4527#     2014#          *                 19183#     2830#          *                     *               
2020,rct2,5,1,6,H,-911.9594,269.4075,False,,,False,-5444.0,2019.0,True,,,False,,,False,,,False,0  6 H    1    -911.9594  269.4075      *                 -5444#     2019#          *                     *                     *               
2020,rct2,4,2,6,He,1710.4569,20.0001,False,22589.323,89.4427,False,,,False,3681.7732,100.0,False,7506.3394,0.0532,False,,,False,   6 He   2    1710.4569   20.0001  22589.3230   89.4427      *                  3681.7732  100.0000   7506.3394    0.0532      *               
2020,rct2,3,3,6,Li,5663.3245,50.0,False,4433.3246,20.0,False,,,False,22372.7716,0.0015,False,4019.7168,0.0015,False,4783.4717,0.0015,False,   6 Li   3    5663.3245   50.0000   4433.3246   20.0000      *                 22372.7716    0.0015   4019.7168    0.0015   4783.4717    0.0015
2020,rct2,2,4,6,Be,26835.0,2003.0,True,592.8241,50.2959,False,,,False,3762.651,212.202,False,-5428.0,2000.0,True,9090.2171,5.4478,False,   6 Be   4   26835#     2003#        592.8241   50.2959      *                  3762.6510  212.2020  -5428#     2000#       9090.2171    5.4478
2020,rct2,1,5,6,B,,,False,-2892.0,2832.0,True,,,False,,,False,,,False,24299.0,2830.0,True,   6 B    5       *                 -2892#     2832#          *                     *                     *                 24299#     2830#    
2020,rct2,6,1,7,H,812.0,1036.0,True,,,False,21459.0,1004.0,True,,,False,,,False,,,False,0  7 H    1     812#     1036#          *                 21459#     1004#          *                     *                     *               
2020,rct2,5,2,7,He,-409.7143,7.5593,False,23091.5681,254.2392,False,,,False,3891.4875,89.7616,False,6316.0537,100.2853,False,,,False,   7 He   2    -409.7143    7.5593  23091.5681  254.2392      *                  3891.4875   89.7616   6316.0537  100.2853      *               
2020,rct2,4,3,7,Li,7251.0939,0.0045,False,9973.9616,0.0531,False,,,False,14386.6777,20.0,False,17346.244,0.0042,False,-4067.6222,100.0,False,   7 Li   3    7251.0939    0.0045   9973.9616    0.0531      *                 14386.6777   20.0000  17346.2440    0.0042  -4067.6222  100.0000
2020,rct2,3,4,7,Be,10677.3542,5.4482,False,5606.8539,0.0709,False,,,False,14800.9178,50.0001,False,-4690.137,212.132,False,18990.484,0.0708,False,   7 Be   4   10677.3542    5.4482   5606.8539    0.0709      *                 14800.9178   50.0001  -4690.1370  212.1320  18990.4840    0.0708
2020,rct2,2,5,7,B,27715.0,2003.0,True,-2012.5479,25.7336,False,,,False,1249.0,2003.0,True,,,False,7999.7651,213.6177,False,   7 B    5   27715#     2003#      -2012.5479   25.7336      *                  1249#     2003#          *                  7999.7651  213.6177
2020,rct2,6,2,8,He,2534.7627,7.56,False,24814.0,1004.0,True,-3454.5863,18.2435,False,444.7654,254.1268,False,3581.291,89.4428,False,,,False,0  8 He   2    2534.7627    7.5600  24814#     1004#      -3454.5863   18.2435    444.7654  254.1268   3581.2910   89.4428      *               
2020,rct2,5,3,8,Li,2032.6182,0.0472,False,12416.2941,7.5596,False,,,False,14064.5164,0.0711,False,14578.6257,20.0001,False,-6300.2404,89.4427,False,   8 Li   3    2032.6182    0.0472  12416.2941    7.5596      *                 14064.5164    0.0711  14578.6257   20.0001  -6300.2404   89.4427
2020,rct2,4,4,8,Be,18898.644,0.0792,False,17254.404,0.0356,False,,,False,1565.5983,0.0354,False,-1873.16,50.0,False,-643.1601,20.0,False,   8 Be   4   18898.6440    0.0792  17254.4040    0.0356      *                  1565.5983    0.0354  -1873.1600   50.0000   -643.1601   20.0000
2020,rct2,3,5,8,B,12826.3018,25.1702,False,136.3997,1.0024,False,,,False,15257.3422,5.5388,False,-9353.0,2003.0,True,16889.0843,50.01,False,   8 B    5   12826.3018   25.1702    136.3997    1.0024      *                 15257.3422    5.5388  -9353#     2003#      16889.0843   50.0100
2020,rct2,2,6,8,C,,,False,-98.7453,31.07,False,,,False,-1545.0,2003.0,True,,,False,3572.0,2003.0,True,   8 C    6       *                   -98.7453   31.0700      *                 -1545#     2003#          *                  3572#     2003#    
2020,rct2,7,2,9,He,-1254.8254,46.8165,False,,,False,12024.8551,46.8652,False,2512.0,1005.0,True,3924.157,258.4032,False,,,False,0  9 He   2   -1254.8254   46.8165      *                 12024.8551   46.8652   2512#     1005#       3924.1570  258.4032      *               
2020,rct2,6,3,9,Li,4062.2175,0.1922,False,13943.7489,0.2064,False,,,False,9592.5845,7.5618,False,12226.8651,0.1938,False,-11274.4173,254.1269,False,   9 Li   3    4062.2175    0.1922  13943.7489    0.2064      *                  9592.5845    7.5618  12226.8651    0.1938 -11274.4173  254.1269
2020,rct2,5,4,9,Be,1664.5388,0.0843,False,16886.3247,0.0898,False,,,False,7152.1533,0.0763,False,2125.6257,0.0765,False,-597.242,0.093,False,   9 Be   4    1664.5388    0.0843  16886.3247    0.0898      *                  7152.1533    0.0763   2125.6257    0.0765   -597.2420    0.0930
2020,rct2,4,5,9,B,18576.4012,1.347,False,-185.8431,0.9033,False,,,False,7358.2952,0.9054,False,-1094.4928,5.522,False,3976.0076,0.9026,False,   9 B    5   18576.4012    1.3470   -185.8431    0.9033      *                  7358.2952    0.9054  -1094.4928    5.5220   3976.0076    0.9026
2020,rct2,3,6,9,C,14224.616,18.3677,False,1299.5688,2.359,False,,,False,11945.2255,25.2409,False,-13545.0,2003.0,True,16182.3397,5.8518,False,   9 C    6   14224.6160   18.3677   1299.5688    2.3590      *                 11945.2255   25.2409 -13545#     2003#      16182.3397    5.8518
2020,rct2,8,2,10,He,-190.0023,103.983,False,,,False,33498.4737,92.8477,False,,,False,4926.0,1008.0,True,,,False,0 10 He   2    -190.0023  103.9830      *                 33498.4737   92.8477      *                  4926#     1008#          *               
2020,rct2,7,3,10,Li,-26.4045,12.72,False,15172.1698,48.5141,False,-5747.3998,400.2022,False,12153.7518,12.7216,False,11843.5553,14.7979,False,-10436.0,1004.0,True,  10 Li   3     -26.4045   12.7200  15172.1698   48.5141  -5747.3998  400.2022  12153.7518   12.7216  11843.5553   14.7979 -10436#     1004#    
2020,rct2,6,4,10,Be,6812.2824,0.0519,False,19636.3895,0.2031,False,,,False,2372.4891,0.0935,False,2564.4371,0.0807,False,-7819.2388,7.5599,False,  10 Be   4    6812.2824    0.0519  19636.3895    0.2031      *                  2372.4891    0.0935   2564.4371    0.0807  -7819.2388    7.5599
2020,rct2,5,5,10,B,8437.1932,0.9027,False,6586.8113,0.0779,False,,,False,17819.746,0.0384,False,1145.6682,0.0724,False,2789.9082,0.0155,False,  10 B    5    8437.1932    0.9027   6586.8113    0.0779      *                 17819.7460    0.0384   1145.6682    0.0724   2789.9082    0.0155
2020,rct2,4,6,10,C,21283.6164,2.1378,False,4006.784,0.9054,False,,,False,3487.911,1.0023,False,-7113.8246,25.1504,False,5576.0775,0.0998,False,  10 C    6   21283.6164    2.1378   4006.7840    0.9054      *                  3487.9110    1.0023  -7113.8246   25.1504   5576.0775    0.0998
2020,rct2,3,7,10,N,,,False,-2600.0851,400.0057,False,,,False,14446.5653,400.4158,False,,,False,16769.8769,400.7899,False,  10 N    7       *                 -2600.0851  400.0057      *                 14446.5653  400.4158      *                 16769.8769  400.7899
2020,rct2,8,3,11,Li,395.6871,12.7362,False,15757.8592,92.8497,False,16362.6146,5.0381,False,10503.2392,46.8205,False,13982.6309,0.6212,False,,,False,0 11 Li   3     395.6871   12.7362  15757.8592   92.8497  16362.6146    5.0381  10503.2392   46.8205  13982.6309    0.6212      *               
2020,rct2,7,4,11,Be,501.6358,0.2511,False,20164.4299,12.7236,False,-27561.7445,60.0385,False,5933.0708,0.302,False,4095.4195,0.2424,False,-5786.1119,0.2537,False,  11 Be   4     501.6358    0.2511  20164.4299   12.7236 -27561.7445   60.0385   5933.0708    0.3020   4095.4195    0.2424  -5786.1119    0.2537
2020,rct2,6,5,11,B,11454.2206,0.0192,False,11228.7495,0.0818,False,,,False,8030.0643,0.0774,False,8590.0917,0.0374,False,-6631.6942,0.0489,False,  11 B    5   11454.2206    0.0192  11228.7495    0.0818      *                  8030.0643    0.0774   8590.0917    0.0374  -6631.6942    0.0489
2020,rct2,5,6,11,C,13120.594,0.0922,False,8690.1847,0.0615,False,,,False,8943.7182,0.9046,False,-7408.1168,1.0016,False,11354.1276,0.0693,False,  11 C    6   13120.5940    0.0922   8690.1847    0.0615      *                  8943.7182    0.9046  -7408.1168    1.0016  11354.1276    0.0693
2020,rct2,4,7,11,N,22505.7016,400.0313,False,-1377.9999,5.0,False,,,False,6165.4797,5.4378,False,-5834.57,18.9159,False,7090.4771,5.0995,False,  11 N    7   22505.7016  400.0313  -1377.9999    5.0000      *                  6165.4797    5.4378  -5834.5700   18.9159   7090.4771    5.0995
2020,rct2,3,8,11,O,,,False,-1649.9147,404.4806,False,,,False,,,False,,,False,18321.0463,62.7485,False,  11 O    8       *                 -1649.9147  404.4806      *                     *                     *                 18321.0463   62.7485
2020,rct2,9,3,12,Li,-210.0,30.0,False,,,False,31671.5086,30.023,False,10523.237,97.576,False,12937.8055,55.6072,False,,,False,0 12 Li   3    -210.0000   30.0000      *                 31671.5086   30.0230  10523.2370   97.5760  12937.8055   55.6072      *               
2020,rct2,8,4,12,Be,3170.7254,1.9233,False,22939.4682,2.0051,False,-6935.5735,12.151,False,2735.9409,12.8637,False,4986.9116,1.9176,False,-10211.6627,46.8554,False,  12 Be   4    3170.7254    1.9233  22939.4682    2.0051  -6935.5735   12.1510   2735.9409   12.8637   4986.9116    1.9176 -10211.6627   46.8554
2020,rct2,7,5,12,B,3369.6283,1.3215,False,14096.742,1.3426,False,,,False,11472.7184,1.3239,False,6885.0022,1.3236,False,-5939.1049,1.3345,False,  12 B    5    3369.6283    1.3215  14096.7420    1.3426      *                 11472.7184    1.3239   6885.0022    1.3236  -5939.1049    1.3345
2020,rct2,6,6,12,C,18720.7151,0.0596,False,15956.6792,0.0121,False,,,False,-1339.8036,0.0149,False,-7552.4306,0.9026,False,-5702.0487,0.0765,False,  12 C    6   18720.7151    0.0596  15956.6792    0.0121      *                 -1339.8036    0.0149  -7552.4306    0.9026  -5702.0487    0.0765
2020,rct2,5,7,12,N,15098.8939,5.0995,False,600.3,1.0017,False,,,False,12350.2022,1.0024,False,-6708.848,2.359,False,10567.9845,1.347,False,  12 N    7   15098.8939    5.0995    600.3000    1.0017      *                 12350.2022    1.0024  -6708.8480    2.3590  10567.9845    1.3470
2020,rct2,4,8,12,O,23796.8964,61.2256,False,-358.7199,13.0,False,,,False,3924.1145,400.18,False,,,False,8748.7659,12.1889,False,  12 O    8   23796.8964   61.2256   -358.7199   13.0000      *                  3924.1145  400.1800      *                  8748.7659   12.1889
2020,rct2,10,3,13,Li,100.0,76.1577,False,,,False,51635.4137,70.0032,False,,,False,12647.8033,116.2802,False,,,False,0 13 Li   3     100.0000   76.1577      *                 51635.4137   70.0032      *                 12647.8033  116.2802      *               
2020,rct2,9,4,13,Be,-510.0,10.0,False,22639.4682,31.6863,False,10543.6479,13.9425,False,3641.628,10.199,False,5470.5071,16.2934,False,-9891.6649,93.4042,False,  13 Be   4    -510.0000   10.0000  22639.4682   31.6863  10543.6479   13.9425   3641.6280   10.1990   5470.5071   16.2934  -9891.6649   93.4042
2020,rct2,8,5,13,B,4878.7679,1.6572,False,15804.7845,2.1547,False,-25468.0,500.0,True,7095.5863,1.0279,False,8818.5167,1.0033,False,-10844.2774,12.7606,False,  13 B    5    4878.7679    1.6572  15804.7845    2.1547 -25468#      500#       7095.5863    1.0279   8818.5167    1.0033 -10844.2774   12.7606
2020,rct2,7,6,13,C,4946.3087,0.0005,False,17533.3596,1.3214,False,,,False,5168.1082,0.0121,False,-4061.5461,0.0149,False,-3836.075,0.0809,False,  13 C    6    4946.3087    0.0005  17533.3596    1.3214      *                  5168.1082    0.0121  -4061.5461    0.0149  -3836.0750    0.0809
2020,rct2,6,7,13,N,20063.9051,1.0356,False,1943.49,0.2695,False,,,False,5406.8911,0.276,False,-5489.1366,0.2785,False,-1058.7274,0.2699,False,  13 N    7   20063.9051    1.0356   1943.4900    0.2695      *                  5406.8911    0.2760  -5489.1366    0.2785  -1058.7274    0.2699
2020,rct2,5,8,13,O,16969.2213,15.3217,False,1511.6075,9.5786,False,,,False,9460.5948,10.759,False,-10820.5406,400.1134,False,13063.161,9.5266,False,  13 O    8   16969.2213   15.3217   1511.6075    9.5786      *                  9460.5948   10.7590 -10820.5406  400.1134  13063.1610    9.5266
2020,rct2,4,9,13,F,,,False,-2728.0,500.0,True,,,False,5002.0,504.0,True,,,False,8876.0,640.0,True,  13 F    9       *                 -2728#      500#          *                  5002#      504#          *                  8876#      640#    
2020,rct2,10,4,14,Be,1775.8951,132.6364,False,24315.3634,149.63,False,31946.7213,132.2451,False,1655.7328,135.6066,False,4090.2991,132.2465,False,,,False,0 14 Be   4    1775.8951  132.6364  24315.3634  149.6300  31946.7213  132.2451   1655.7328  135.6066   4090.2991  132.2465      *               
2020,rct2,9,5,14,B,969.5802,21.2369,False,17284.3647,23.5297,False,-8300.7168,46.2683,False,9296.7314,21.299,False,8350.5723,21.2147,False,-11418.1705,21.2222,False,  14 B    5     969.5802   21.2369  17284.3647   23.5297  -8300.7168   46.2683   9296.7314   21.2990   8350.5723   21.2147 -11418.1705   21.2222
2020,rct2,8,6,14,C,8176.4341,0.0038,False,20831.0258,1.0001,False,,,False,361.3024,1.3214,False,-783.7597,0.0127,False,-11510.8733,0.2377,False,  14 C    6    8176.4341    0.0038  20831.0258    1.0001      *                   361.3024    1.3214   -783.7597    0.0127 -11510.8733    0.2377
2020,rct2,7,7,14,N,10553.3823,0.2695,False,7550.5636,0.0001,False,,,False,13574.2239,0.0003,False,-2921.925,0.0596,False,-157.8891,0.0121,False,  14 N    7   10553.3823    0.2695   7550.5636    0.0001      *                 13574.2239    0.0003  -2921.9250    0.0596   -157.8891    0.0121
2020,rct2,6,8,14,O,23178.9686,9.5263,False,4626.671,0.2707,False,,,False,1380.5201,1.0002,False,-11493.8076,5.0006,False,3004.7863,0.0647,False,  14 O    8   23178.9686    9.5263   4626.6710    0.2707      *                  1380.5201    1.0002 -11493.8076    5.0006   3004.7863    0.0647
2020,rct2,5,9,14,F,18137.0,502.0,True,-1559.9999,40.0,False,,,False,10661.8748,42.834,False,-10910.4554,72.7689,False,13245.161,41.4217,False,  14 F    9   18137#      502#      -1559.9999   40.0000      *                 10661.8748   42.8340 -10910.4554   72.7689  13245.1610   41.4217
2020,rct2,11,4,15,Be,-1800.0,100.0,False,,,False,46970.1984,165.7981,False,3555.7328,179.9698,False,5680.2991,168.4908,False,,,False,0 15 Be   4   -1800.0000  100.0000      *                 46970.1984  165.7981   3555.7328  179.9698   5680.2991  168.4908      *               
2020,rct2,10,5,15,B,2777.6245,29.8701,False,18286.0941,133.9066,False,12390.6273,25.263,False,6009.1069,23.3636,False,8743.6732,21.1154,False,-14405.795,36.6414,False,  15 B    5    2777.6245   29.8701  18286.0941  133.9066  12390.6273   25.2630   6009.1069   23.3636   8743.6732   21.1154 -14405.7950   36.6414
2020,rct2,9,6,15,C,1218.0662,0.8,False,21079.5118,21.2284,False,-30342.2285,66.6888,False,4022.0042,1.2807,False,1367.8025,1.5447,False,-9558.2141,2.0694,False,  15 C    6    1218.0662    0.8000  21079.5118   21.2284 -30342.2285   66.6888   4022.0042    1.2807   1367.8025    1.5447  -9558.2141    2.0694
2020,rct2,8,7,15,N,10833.2968,0.0008,False,10207.4263,0.0038,False,,,False,7687.2358,0.0006,False,4965.4933,0.0006,False,-7621.5576,1.3214,False,  15 N    7   10833.2968    0.0008  10207.4263    0.0038      *                  7687.2358    0.0006   4965.4933    0.0006  -7621.5576    1.3214
2020,rct2,7,8,15,O,13223.477,0.4908,False,7296.7657,0.4902,False,,,False,8220.9481,0.5594,False,-9618.3907,1.1136,False,8502.0244,0.4902,False,  15 O    8   13223.4770    0.4908   7296.7657    0.4902      *                  8220.9481    0.5594  -9618.3907    1.1136   8502.0244    0.4902
2020,rct2,6,9,15,F,23468.9686,43.4368,False,-1269.9999,14.0,False,,,False,4162.1275,16.9337,False,-10582.5276,18.4392,False,4875.0863,14.0357,False,  15 F    9   23468.9686   43.4368  -1269.9999   14.0000      *                  4162.1275   16.9337 -10582.5276   18.4392   4875.0863   14.0357
2020,rct2,5,10,15,Ne,,,False,-961.9999,77.1751,False,,,False,8896.0,505.0,True,,,False,13848.441,67.7551,False,  15 Ne  10       *                  -961.9999   77.1751      *                  8896#      505#          *                 13848.4410   67.7551
2020,rct2,12,4,16,Be,450.0,141.4214,False,,,False,62184.1409,165.7974,False,,,False,5330.2991,179.9698,False,,,False,0 16 Be   4     450.0000  141.4214      *                 62184.1409  165.7974      *                  5330.2991  179.9698      *               
2020,rct2,11,5,16,B,-83.0012,14.6047,False,20003.0929,167.6075,False,26436.517,25.1451,False,7868.0033,134.5075,False,8316.6744,26.5922,False,-14222.7938,74.1881,False,  16 B    5     -83.0012   14.6047  20003.0929  167.6075  26436.5170   25.1451   7868.0033  134.5075   8316.6744   26.5922 -14222.7938   74.1881
2020,rct2,10,6,16,C,4250.3301,3.6661,False,22552.2174,21.3311,False,-10292.6419,20.7901,False,741.2543,21.5129,False,1996.2403,3.7149,False,-14318.5442,10.7909,False,  16 C    6    4250.3301    3.6661  22552.2174   21.3311 -10292.6419   20.7901    741.2543   21.5129   1996.2403    3.7149 -14318.5442   10.7909
2020,rct2,9,7,16,N,2488.849,2.3014,False,11478.209,2.4365,False,,,False,13374.8209,2.3014,False,7422.9531,2.3014,False,-5231.6387,2.5093,False,  16 N    7    2488.8490    2.3014  11478.2090    2.4365      *                 13374.8209    2.3014   7422.9531    2.3014  -5231.6387    2.5093
2020,rct2,8,8,16,O,15663.9424,0.4902,False,12127.4113,0.0006,False,,,False,3110.388,0.0003,False,-5218.4281,0.2695,False,-2215.6093,0.0005,False,  16 O    8   15663.9424    0.4902  12127.4113    0.0006      *                  3110.3880    0.0003  -5218.4281    0.2695  -2215.6093    0.0005
2020,rct2,7,9,16,F,13962.8884,14.9925,False,-530.5885,5.3604,False,,,False,13378.2077,5.3643,False,-7576.1947,10.9328,False,10976.1029,5.371,False,  16 F    9   13962.8884   14.9925   -530.5885    5.3604      *                 13378.2077    5.3643  -7576.1947   10.9328  10976.1029    5.3710
2020,rct2,6,10,16,Ne,24299.9167,69.758,False,-131.0518,24.8079,False,,,False,2733.1794,45.9367,False,-13179.0,501.0,True,6517.7455,22.5872,False,  16 Ne  10   24299.9167   69.7580   -131.0518   24.8079      *                  2733.1794   45.9367 -13179#      501#       6517.7455   22.5872
2020,rct2,12,5,17,B,1466.6951,205.5768,False,21019.788,262.9583,False,41764.6204,204.1038,False,4601.3082,262.9583,False,8625.8744,243.2017,False,,,False,0 17 B    5    1466.6951  205.5768  21019.7880  262.9583  41764.6204  204.1038   4601.3082  262.9583   8625.8744  243.2017      *               
2020,rct2,11,6,17,C,733.5717,17.7296,False,23368.7903,30.0839,False,4531.4275,17.3685,False,2785.307,27.2719,False,2232.2488,27.4143,False,-13276.2208,133.3803,False,  17 C    6     733.5717   17.7296  23368.7903   30.0839   4531.4275   17.3685   2785.3070   27.2719   2232.2488   27.4143 -13276.2208  133.3803
2020,rct2,10,7,17,N,5885.1465,15.1755,False,13113.0255,15.4208,False,-26849.5009,61.4738,False,8707.7406,15.0213,False,9714.2407,15.0,False,-10147.2049,25.9809,False,  17 N    7    5885.1465   15.1755  13113.0255   15.4208 -26849.5009   61.4738   8707.7406   15.0213   9714.2407   15.0000 -10147.2049   25.9809
2020,rct2,9,8,17,O,4143.0801,0.0008,False,13781.6425,2.3014,False,,,False,9800.6047,0.0009,False,1191.8742,0.0007,False,1817.7447,0.0038,False,  17 O    8    4143.0801    0.0008  13781.6425    2.3014      *                  9800.6047    0.0009   1191.8742    0.0007   1817.7447    0.0038
2020,rct2,8,9,17,F,16794.7986,5.3699,False,600.2676,0.2479,False,,,False,9806.8861,0.5493,False,-1192.0247,0.2491,False,4734.6867,0.2479,False,  17 F    9   16794.7986    5.3699    600.2676    0.2479      *                  9806.8861    0.5493  -1192.0247    0.2491   4734.6867    0.2479
2020,rct2,7,10,17,Ne,15557.6411,20.4831,False,1463.7009,5.3759,False,,,False,10644.5068,14.0045,False,-10599.8955,41.1203,False,14139.073,0.3551,False,  17 Ne  10   15557.6411   20.4831   1463.7009    5.3759      *                 10644.5068   14.0045 -10599.8955   41.1203  14139.0730    0.3551
2020,rct2,6,11,17,Na,,,False,-3443.8336,63.0353,False,,,False,5215.013,89.447,False,,,False,8401.5792,72.4208,False,  17 Na  11       *                 -3443.8336   63.0353      *                  5215.0130   89.4470      *                  8401.5792   72.4208
2020,rct2,13,5,18,B,-5.0,5.0,False,,,False,50919.5273,204.1654,False,5056.3082,263.0058,False,6830.8744,263.0058,False,,,False,0 18 B    5      -5.0000    5.0000      *                 50919.5273  204.1654   5056.3082  263.0058   6830.8744  263.0058      *               
2020,rct2,12,6,18,C,4183.9319,34.6632,False,26086.0271,206.2966,False,19601.6483,30.0022,False,-1481.6261,38.775,False,825.9414,36.6363,False,-19260.1527,168.4897,False,  18 C    6    4183.9319   34.6632  26086.0271  206.2966  19601.6483   30.0022  -1481.6261   38.7750    825.9414   36.6363 -19260.1527  168.4897
2020,rct2,11,7,18,N,2828.2294,23.8711,False,15207.6831,25.4237,False,-11924.8244,95.7001,False,10129.8413,18.911,False,8104.0775,18.5868,False,-10197.8098,28.0543,False,  18 N    7    2828.2294   23.8711  15207.6831   25.4237 -11924.8244   95.7001  10129.8413   18.9110   8104.0775   18.5868 -10197.8098   28.0543
2020,rct2,10,8,18,O,8045.3702,0.001,False,15941.8662,15.0,False,,,False,4244.0835,2.3014,False,3979.8008,0.0009,False,-5009.5593,0.8,False,  18 O    8    8045.3702    0.0010  15941.8662   15.0000      *                  4244.0835    2.3014   3979.8008    0.0009  -5009.5593    0.8000
2020,rct2,9,9,18,F,9149.9069,0.5254,False,5607.0944,0.4633,False,,,False,16320.9217,0.4633,False,2881.5455,0.6745,False,6418.0766,0.4633,False,  18 F    9    9149.9069    0.5254   5607.0944    0.4633      *                 16320.9217    0.4633   2881.5455    0.6745   6418.0766    0.4633
2020,rct2,8,10,18,Ne,19254.1527,0.5071,False,3923.055,0.4399,False,,,False,5353.2426,5.3765,False,-6385.0796,14.0047,False,8108.3974,0.6102,False,  18 Ne  10   19254.1527    0.5071   3923.0550    0.4399      *                  5353.2426    5.3765  -6385.0796   14.0047   8108.3974    0.6102
2020,rct2,7,11,18,Na,17752.9059,111.2102,False,-1248.5688,93.881,False,,,False,11762.0238,96.0891,False,-10313.3267,115.154,False,14117.6419,94.9194,False,  18 Na  11   17752.9059  111.2102  -1248.5688   93.8810      *                 11762.0238   96.0891 -10313.3267  115.1540  14117.6419   94.9194
2020,rct2,14,5,19,B,93.7073,563.6393,False,,,False,61257.6957,525.3627,False,,,False,7187.1671,550.9035,False,,,False,0 19 B    5      93.7073  563.6393      *                 61257.6957  525.3627      *                  7187.1671  550.9035      *               
2020,rct2,13,6,19,C,576.8292,93.7043,False,26667.8564,226.6358,False,30661.701,98.3896,False,-591.7602,226.5806,False,166.1109,101.41,False,-19386.982,192.7933,False,  19 C    6     576.8292   93.7043  26667.8564  226.6358  30661.7010   98.3896   -591.7602  226.5806    166.1109  101.4100 -19386.9820  192.7933
2020,rct2,12,7,19,N,5328.2305,24.7772,False,16351.9817,34.1919,False,2926.8705,19.4954,False,5535.1826,23.8877,False,7026.1771,16.7894,False,-15609.0415,29.5396,False,  19 N    7    5328.2305   24.7772  16351.9817   34.1919   2926.8705   19.4954   5535.1826   23.8877   7026.1771   16.7894 -15609.0415   29.5396
2020,rct2,11,8,19,O,3955.6439,2.637,False,17069.2807,18.7558,False,-28505.5362,60.059,False,6173.5861,15.23,False,2513.0058,3.5,False,-4714.8732,4.4445,False,  19 O    8    3955.6439    2.6370  17069.2807   18.7558 -28505.5362   60.0590   6173.5861   15.2300   2513.0058    3.5000  -4714.8732    4.4445
2020,rct2,10,9,19,F,10431.8757,0.4633,False,7993.5998,0.001,False,,,False,10032.1261,0.001,False,8113.6122,0.0008,False,-1524.9501,2.3014,False,  19 F    9   10431.8757    0.4633   7993.5998    0.0010      *                 10032.1261    0.0010   8113.6122    0.0008  -1524.9501    2.3014
2020,rct2,9,10,19,Ne,11636.8819,0.3965,False,6410.03,0.4902,False,,,False,10511.1593,0.295,False,-4059.0731,5.3666,False,12135.4579,0.1601,False,  19 Ne  10   11636.8819    0.3965   6410.0300    0.4902      *                 10511.1593    0.2950  -4059.0731    5.3666  12135.4579    0.1601
2020,rct2,8,11,19,Na,20179.9254,94.4705,False,-322.7961,10.5385,False,,,False,7139.7395,10.5411,False,-6193.3353,23.0308,False,7900.6049,11.8222,False,  19 Na  11   20179.9254   94.4705   -322.7961   10.5385      *                  7139.7395   10.5411  -6193.3353   23.0308   7900.6049   11.8222
